,Correlation,Random Forest,XGBoost,Permutation,SHAP,Average Rank
temperature_fahrenheit,1.0,1.0,2.0,1.0,1.0,1.2
feels_like_celsius,2.0,2.0,1.0,2.0,2.0,1.8
feels_like_fahrenheit,3.0,3.0,8.0,3.0,3.0,4.0
humidity,5.0,4.0,15.0,4.0,6.0,6.8
latitude,6.0,22.0,7.0,8.0,4.0,9.4
uv_index,4.0,23.0,9.0,5.0,7.0,9.6
air_quality_Carbon_Monoxide,27.0,7.0,3.0,6.0,9.0,10.4
last_updated_epoch,11.0,11.0,13.0,9.0,12.0,11.2
pressure_mb,9.0,17.0,14.0,7.0,14.0,12.2
longitude,13.0,21.0,6.0,11.0,10.0,12.2
pressure_in,8.0,8.0,16.0,24.0,8.0,12.8
wind_mph,14.0,20.0,4.0,22.0,5.0,13.0
gust_mph,18.0,10.0,11.0,12.0,15.0,13.2
air_quality_Ozone,7.0,12.0,18.0,10.0,19.0,13.2
air_quality_PM10,16.0,15.0,12.0,13.0,17.0,14.6
gust_kph,17.0,14.0,10.0,14.0,21.0,15.2
cloud,10.0,19.0,24.0,16.0,11.0,16.0
air_quality_Nitrogen_dioxide,12.0,9.0,23.0,27.0,13.0,16.8
moon_illumination,29.0,6.0,5.0,28.0,16.0,16.8
air_quality_PM2.5,23.0,13.0,19.0,19.0,18.0,18.4
air_quality_Sulphur_dioxide,24.0,16.0,17.0,26.0,20.0,20.6
wind_degree,28.0,5.0,20.0,29.0,22.0,20.8
wind_kph,15.0,18.0,27.0,23.0,27.0,22.0
visibility_km,20.0,24.0,21.0,25.0,23.0,22.6
precip_mm,26.0,27.0,22.0,17.0,24.0,23.2
visibility_miles,19.0,25.0,27.0,20.0,27.0,23.6
air_quality_us-epa-index,22.0,28.0,27.0,15.0,27.0,23.8
air_quality_gb-defra-index,21.0,26.0,27.0,21.0,27.0,24.4
precip_in,25.0,29.0,27.0,18.0,27.0,25.2
