country,latitude,longitude,temp_mean,temp_std,temp_min,temp_max,country_encoded
Afghanistan,34.51734100719424,69.18265899280576,20.829496402877698,10.24496151787256,-3.3,36.3,0
Albania,41.32798561151079,19.81911366906475,21.133453237410073,8.807283817037195,1.3,39.2,1
Algeria,36.762502342342344,3.0504843243243243,21.964324324324327,6.912636054584655,2.1,38.2,2
Andorra,42.5,1.5173410071942444,10.941007194244603,9.101585352050977,-13.0,28.9,3
Angola,-8.838630215827338,13.233545323741007,26.044964028776977,2.7558278621697267,19.3,32.2,4
Antigua and Barbuda,17.117333695652174,-61.85000000000001,26.54855072463768,1.7766987681790212,21.0,30.4,5
Argentina,-34.58798285198556,-58.67201714801444,14.116425992779783,5.684377964678878,0.3,27.3,6
Armenia,40.18088633093525,44.51290071942446,19.010431654676257,11.164260827002318,-2.8,39.3,7
Australia,-35.28267341772152,149.21732658227847,13.99611211573237,6.926747168944433,-3.7,37.3,8
Austria,48.2,16.367336216216216,14.192792792792792,9.565175552046295,-3.8,35.5,9
Azerbaijan,40.39620612612613,49.88177585585585,20.331711711711712,8.94269783329832,-0.9,37.2,10
Bahamas,25.082664,-77.35,25.074,3.310819653191077,13.2,30.4,11
Bahrain,26.236857553956835,50.58249784172662,31.242446043165465,7.196390270476677,14.3,45.3,12
Bangladesh,23.722501263537907,90.40887039711193,31.16173285198556,3.586832644599611,23.2,42.2,13
Barbados,13.1,-59.61734448462929,27.19367088607595,1.445211889648208,22.1,31.4,14
Belarus,53.9,27.567341007194244,11.586870503597122,9.665487423070957,-8.9,32.4,15
Belgium,50.83266378378379,4.332663783783784,13.371981981981982,6.911753164337463,-2.6500000000000004,32.150000000000006,16
Belize,17.25,-88.76734565217392,22.294384057971016,2.2321656939534384,16.1,30.3,17
Benin,6.482663783783784,2.617336216216216,28.364864864864863,2.1831918080817414,23.1,34.4,18
Bhutan,27.48266378378378,89.6,13.856936936936938,4.5881421471486545,-0.1,23.8,19
Bolivia,-19.014067811934897,-65.26593851717904,16.905605786618445,2.094615518514374,9.55,23.1,20
Bosnia and Herzegovina,43.85,18.38265899280575,14.472302158273381,9.985709920603837,-4.8,37.2,21
Botswana,-24.647099280575542,25.9115309352518,23.599640287769784,6.0368716807791944,6.4,38.4,22
Brazil,-2.1215130434782608,-58.14642173913043,24.217753623188408,2.5781456266156995,17.9,33.3,23
Brunei,4.882668592057762,114.93266859205777,29.35162454873646,2.175660003748245,24.0,34.3,24
Bulgaria,42.683810071942446,23.319823021582735,17.10122901678657,10.832737243397617,-4.25,39.0,25
Burkina Faso,12.370242162162162,-1.5237938738738739,28.19171171171171,3.7148307204179325,18.1,37.7,26
Burundi,-3.3768575539568344,29.36,26.35935251798561,2.9090357421972377,17.5,33.3,27
Cambodia,11.55,104.91734216216217,31.251171171171173,2.933143955455869,22.6,39.1,28
Cameroon,6.55851119133574,12.675347653429602,25.415523465703973,3.152262168337109,17.8,33.3,29
Canada,45.4173444846293,-75.7,6.358047016274864,10.920050921171292,-21.8,29.2,30
Cape Verde,14.931208633093526,-23.51201438848921,24.52841726618705,2.4679973305847374,19.1,31.3,31
Central African Republic,4.367336216216216,18.582663783783783,28.585945945945948,3.929351362125411,20.3,37.9,32
Chad,12.112497841726618,15.049355395683454,29.957374100719424,4.327390193294538,15.1,40.4,33
Chile,-33.45,-70.6673444846293,10.310488245931284,4.852867665620466,-1.7,22.8,34
China,39.92911046931408,116.38862527075813,18.888267148014442,10.937806569112979,-6.0,38.3,35
Comoros,-11.704561441441442,43.24134126126126,26.197657657657658,1.4536689266453144,22.1,31.3,36
Congo,-4.259354234234235,15.283793873873874,26.837477477477478,3.450176699411684,20.1,37.5,37
Costa Rica,9.830537818181819,-84.14822981818182,19.560181818181817,2.810278422515282,10.9,25.2,38
Croatia,45.8,16.0,15.688989169675091,10.227377260617,-2.0,38.8,39
Cuba,23.131528260869565,-82.36337826086955,22.9786231884058,3.106420887859284,9.3,29.2,40
Cyprus,35.16733621621621,33.36733621621622,26.067027027027027,7.61446545108495,7.1,40.4,41
Czech Republic,50.08267341772152,14.467326582278481,12.422061482820975,8.990872067002101,-8.7,32.4,42
DR Congo,-4.3,15.299999999999999,26.760940325497288,3.399626021373622,20.1,37.8,43
Denmark,55.66733621621621,12.582663783783783,12.231171171171171,6.576559778301944,-5.0,27.2,44
Djibouti,11.595956678700361,43.14846353790614,32.24729241877257,4.744346771734418,24.7,47.1,45
Dominica,15.299999999999999,-61.39999999999999,26.66365280289331,1.5485029126676337,20.2,33.0,46
Dominican Republic,18.46733967391304,-69.9,24.0375,2.0351688951882894,18.3,30.4,47
East Timor,-8.55886582278481,125.57291645569619,26.35117540687161,1.3832733547230727,21.7,29.1,48
Ecuador,-0.21734682395644284,-78.5,10.131215970961888,1.0948001771178124,6.7,15.5,49
Egypt,30.05,31.25,26.673693693693693,6.832141062247975,13.0,42.4,50
El Salvador,13.70886981818182,-89.20250254545455,23.57181818181818,2.4770763886093308,16.7,29.2,51
Equatorial Guinea,3.75,8.782658992805755,27.209892086330935,2.2408796509306925,23.0,33.4,52
Eritrea,15.332658992805754,38.932658992805756,21.58812949640288,2.8226246985041885,13.9,28.0,53
Estonia,59.43314244604316,24.7284690647482,10.714748201438848,8.246698390925761,-8.0,32.3,54
Eswatini,-26.31733736462094,31.132662635379063,22.175992779783392,5.108088594076916,9.7,37.2,55
Ethiopia,9.032668592057762,38.7,19.95018050541516,2.5095928006800365,13.2,29.4,56
Fiji,-18.13265899280575,178.41734100719424,24.280125899280577,1.8046201422999484,17.3,28.2,57
Finland,60.176454676259,24.93338417266187,10.48273381294964,8.660815167156462,-10.0,29.1,58
France,48.86734216216216,2.332657837837838,14.330810810810812,7.326829084375572,-2.7,36.8,59
Gabon,0.3826637837837838,9.45,26.96144144144144,1.9512630579663495,22.9,31.3,60
Gambia,13.452506859205776,-16.57797833935018,25.340072202166063,2.7230216692219464,18.2,34.4,61
Georgia,41.72595667870036,44.790646931407935,18.86263537906137,9.402284797191491,-1.7,37.4,62
Germany,52.51734100719424,13.4,13.413129496402878,8.556876393406029,-5.9,33.3,63
Ghana,5.55,-0.2173410071942446,27.366187050359713,2.1733870757794924,23.0,33.2,64
Greece,37.979596014492756,23.716929710144928,23.459420289855075,8.24913689754469,6.3,39.3,65
Grenada,12.05,-61.75,27.155978260869567,1.442384263122335,23.1,31.4,66
Guatemala,14.620886388384756,-90.52750199637023,17.162431941923774,1.5146270715308836,11.5,20.4,67
Guinea,9.509355675675675,-13.71177189189189,26.172432432432434,1.5124681672911273,23.0,31.2,68
Guinea-Bissau,11.85,-15.582658992805754,25.633453237410073,2.4903119562116602,17.3,33.2,69
Guyana,6.8,-58.1673444846293,24.518083182640144,1.559437821509753,20.1,30.2,70
Haiti,18.53935652173913,-72.33597826086957,21.372463768115942,3.7612798168647075,14.8,31.4,71
Honduras,14.1,-87.21734083484574,18.992014519056262,2.1859821441023417,11.7,23.3,72
Hungary,47.497747747747745,19.06238756756757,15.690180180180178,10.180394903965636,-2.6,37.1,73
Iceland,63.54832432432433,-20.623576576576575,6.2506306306306305,4.30012745996956,-7.7,17.2,74
India,28.6,77.2,30.45081081081081,6.005302580943903,12.1,44.8,75
Indonesia,-6.213706474820143,106.84605179856116,28.230245803357313,2.0783446480332355,22.1,32.55,76
Iran,35.72685755395683,51.33032230215827,20.738758992805757,10.819399264243286,-3.7499999999999996,37.349999999999994,77
