mae,rmse,mape,country,train_size,test_size,total_records
0.23405798192609822,0.30704822813553867,0.8587891323662978,Maldives,456,114,584
0.2658780139425526,0.3373152167887253,0.9649722578574221,Kiribati,456,115,585
0.2862827133714106,0.40720399338567165,1.0760006933398552,Dominica,456,114,584
0.3559691719386887,0.44232619276737234,1.2500606035712614,Somalia,457,115,586
0.399962493233059,0.520462901453649,1.6659483878876427,Suriname,456,115,585
0.42466196474821666,0.5282888880468035,1.5261735120658038,Marshall Islands,458,115,587
0.4432421483491596,0.5504471632599541,4.2450503461662255,Ecuador,454,114,582
0.44494903966000204,0.569398017054046,2.6290745029608824,Peru,454,114,582
0.455312214726987,0.5860420116576324,2.01182723480019,Cote d'Ivoire,90,23,126
0.4583690308687981,0.5938391080616022,1.6941406418845075,Timor-Leste,456,114,585
0.46296121697676806,0.6044782556191208,1.956298690736876,Brazil,455,114,583
0.4787390402088993,0.6038725560533786,1.6654647538201364,Seychelles Islands,457,115,586
0.48138558429220457,0.6108037746765056,1.9364072830965422,Trinidad and Tobago,456,115,585
0.488600416350783,0.641595140415342,1.8144006031251505,Grenada,455,114,583
0.49018081001613445,0.6606303414718183,1.837520207170075,Saint Kitts and Nevis,456,115,585
0.5002573381390488,0.6443418627964987,2.066507722339265,Guyana,456,114,584
0.5044001161006457,0.660276568092463,1.8666359438796596,Saint Vincent and the Grenadines,456,114,584
0.5141561591106911,0.7002062327257494,1.8241143254610799,Tuvalu,458,115,587
0.5185743231522408,0.654344751749258,1.9576975306510682,Jamaica,455,114,583
0.5211103057861328,0.6265125115884737,1.8185600957507586,Palau,456,115,586
0.526566301312363,0.6392656851438429,2.098444708596274,Panama,455,114,583
0.5348627936321753,0.6548653494987002,1.991189745456631,Saint Lucia,456,115,585
0.5365967228101647,0.7082356233589416,1.80490465236119,Indonesia,458,115,1175
0.5389021020186575,0.6900129254437596,2.053326818580745,Antigua and Barbuda,455,114,583
0.5408278058922807,0.6724279892092687,1.805560370439023,Brunei Darussalam,456,115,586
0.55111756575735,0.6849814977765727,2.5613836645774803,Belize,455,114,583
0.5596583516974198,0.7766876224726372,2.0943078512549245,Barbados,456,114,584
0.5685297592826509,0.7011595382392048,2.355875757354164,Liberia,457,115,586
0.5992847844174034,0.8455280906621229,2.4400503693842683,Sierra Leone,456,114,584
0.6023287287929603,0.7766714673972488,2.100419872086067,Micronesia,454,114,586
0.611460364492316,0.8336617165077894,2.5227657352498634,Dominican Republic,455,114,583
0.6137082473091459,0.8064458613729044,2.0931001601658354,Bangladesh,456,115,585
0.61438942618992,0.8233230786486735,2.06966763024214,Djibouti,456,115,585
0.6227326932160748,0.7780671967186021,2.104188904261162,Sri Lanka,457,115,586
