,predicted_temperature
2025-12-24 08:00:00,7.0855756
2025-12-24 09:00:00,10.96422
2025-12-24 10:00:00,11.66114
2025-12-24 11:00:00,12.0112
2025-12-24 12:00:00,12.410407
2025-12-24 13:00:00,12.956063
2025-12-24 14:00:00,13.098763
2025-12-24 15:00:00,13.445067
2025-12-24 16:00:00,13.979022
2025-12-24 17:00:00,13.979022
2025-12-24 18:00:00,13.926843
2025-12-24 19:00:00,13.926843
2025-12-24 20:00:00,13.926843
2025-12-24 21:00:00,13.926843
2025-12-24 22:00:00,13.926843
2025-12-24 23:00:00,13.926843
2025-12-25 00:00:00,13.926843
2025-12-25 01:00:00,8.65799
2025-12-25 02:00:00,9.032458
2025-12-25 03:00:00,9.554804
2025-12-25 04:00:00,9.413117
2025-12-25 05:00:00,9.413117
2025-12-25 06:00:00,9.400866
2025-12-25 07:00:00,9.385424
