country,latitude,longitude,country_encoded,temp_mean,temp_std,temp_min,temp_max,hemisphere,hemisphere_encoded,climate_zone,climate_zone_encoded,abs_latitude,latitude_normalized,latitude_band,temp_mean_month_1,temp_mean_month_2,temp_mean_month_3,temp_mean_month_4,temp_mean_month_5,temp_mean_month_6,temp_mean_month_7,temp_mean_month_8,temp_mean_month_9,temp_mean_month_10,temp_mean_month_11,temp_mean_month_12
Afghanistan,34.51734100719424,69.18265899280576,0,20.82949640287769,10.24496151787256,-3.3,36.3,Northern,1,Subtropical,1,34.51734100719424,0.3835260111910471,3,1.3129032258064517,4.789285714285714,11.993548387096777,22.986666666666668,27.26774193548387,29.747826086956525,32.11833333333333,30.664516129032258,27.525,21.125806451612902,14.796666666666663,8.252727272727272
Albania,41.32798561151079,19.81911366906475,1,21.13345323741008,8.807283817037195,1.3,39.2,Northern,1,Temperate,2,41.32798561151079,0.45919984012789766,4,13.425806451612903,12.428571428571429,16.067741935483873,18.40333333333333,21.664516129032258,30.12391304347826,32.428333333333335,31.601612903225806,25.445,18.503225806451614,13.103333333333332,9.334545454545454
Algeria,36.76250234234234,3.0504843243243243,2,21.964324324324327,6.912636054584655,2.1,38.2,Northern,1,Temperate,2,36.76250234234234,0.4084722482482482,3,15.019354838709678,15.425,17.616129032258065,19.7,22.274193548387096,28.36086956521739,29.79491525423729,29.598387096774196,26.336666666666662,21.398387096774197,16.051666666666666,12.681818181818182
Andorra,42.5,1.5173410071942444,3,10.941007194244603,9.101585352050977,-13.0,28.9,Northern,1,Temperate,2,42.5,0.4722222222222222,4,2.035483870967742,4.128571428571428,1.1806451612903226,7.21,11.038709677419355,20.506521739130434,21.461666666666662,22.10483870967742,14.22,10.474193548387095,2.8883333333333336,0.5818181818181818
Angola,-8.838630215827338,13.233545323741009,4,26.044964028776977,2.7558278621697267,19.3,32.2,Southern,0,Tropical,0,8.838630215827338,0.09820700239808154,0,29.38064516129032,29.264285714285712,29.548387096774192,28.626666666666665,27.861290322580647,25.62826086956522,23.348333333333336,22.738709677419354,24.326666666666664,25.432258064516127,26.71833333333333,26.96727272727273
Antigua and Barbuda,17.117333695652174,-61.85000000000001,5,26.54855072463768,1.7766987681790212,21.0,30.4,Northern,1,Tropical,0,17.117333695652174,0.1901925966183575,1,24.436666666666667,24.67142857142857,24.506451612903227,24.946666666666665,26.12903225806452,27.744444444444444,27.7,28.198387096774194,27.365,27.220967741935485,26.20508474576271,25.563636363636363
Argentina,-34.58798285198556,-58.67201714801444,6,14.116425992779783,5.684377964678878,0.3,27.3,Southern,0,Subtropical,1,34.58798285198556,0.3843109205776173,3,21.716666666666665,21.567857142857143,18.55161290322581,13.693333333333332,13.296774193548387,9.060869565217391,7.947457627118644,10.020967741935484,11.738333333333332,14.88548387096774,16.763333333333332,18.672727272727272
Armenia,40.18088633093525,44.51290071942446,7,19.010431654676257,11.164260827002318,-2.8,39.3,Northern,1,Temperate,2,40.18088633093525,0.44645429256594726,4,3.3548387096774195,3.5392857142857146,14.51290322580645,17.06,23.58709677419355,29.171739130434784,31.48166666666667,32.575806451612905,25.62,17.646774193548385,9.703333333333337,3.814545454545455
Australia,-35.28267341772152,149.21732658227847,8,13.99611211573237,6.926747168944433,-3.7,37.3,Southern,0,Temperate,2,35.28267341772152,0.39202970464135023,3,18.970967741935485,20.725,19.861290322580647,16.113333333333333,11.029032258064516,4.75,6.236666666666666,8.961290322580645,12.42,14.841935483870968,19.41166666666667,21.205454545454543
Austria,48.2,16.367336216216216,9,14.192792792792792,9.565175552046297,-3.8,35.5,Northern,1,Temperate,2,48.2,0.5355555555555556,4,3.351612903225807,2.6392857142857147,9.125806451612902,13.806666666666668,14.906451612903227,24.59130434782609,25.354237288135597,25.45483870967742,18.43166666666667,11.88548387096774,4.9350000000000005,3.56
